"Freq [GHz]","re(S(1,1)) []","im(S(1,1)) []","re(S(2,1)) []","im(S(2,1)) []","re(S(1,2)) []","im(S(1,2)) []","re(S(2,2)) []","im(S(2,2)) []"
33.9,3.42754465196859E-05,0.000101785367177242,0.90156237397083,-0.43241045223343,0.901562373970829,-0.432410452233429,5.80455682656124E-05,9.03219548727432E-05
33.91,3.4341176688462E-05,0.000101868847270238,0.901418330603681,-0.432709627887472,0.90141833060368,-0.432709627887471,5.81303769281512E-05,9.03862038532409E-05
33.92,3.44069691426606E-05,0.000101952338166906,0.901274253957246,-0.433008645552959,0.901274253957244,-0.433008645552958,5.82152315080694E-05,9.04504629323347E-05
33.93,3.44728239245462E-05,0.00010203583975905,0.901130144012088,-0.433307505325265,0.901130144012087,-0.433307505325264,5.83001319769346E-05,9.05147320223309E-05
33.94,3.45387410763258E-05,0.00010211935193847,0.900986000749002,-0.4336062073002,0.900986000749,-0.4336062073002,5.83850783063214E-05,9.05790110356159E-05
33.95,3.46047206401484E-05,0.000102202874596963,0.900841824149001,-0.433904751574007,0.900841824149,-0.433904751574006,5.84700704678103E-05,9.06432998846574E-05
33.96,3.46707626581041E-05,0.00010228640762632,0.900697614193326,-0.434203138243354,0.900697614193325,-0.434203138243353,5.85551084329878E-05,9.07075984820038E-05
33.97,3.47368671722242E-05,0.000102369950918326,0.900553370863439,-0.434501367405336,0.900553370863438,-0.434501367405336,5.86401921734464E-05,9.07719067402851E-05
33.98,3.48030342244797E-05,0.000102453504364765,0.90040909414102,-0.434799439157467,0.900409094141019,-0.434799439157466,5.87253216607833E-05,9.08362245722128E-05
33.99,3.48692638567817E-05,0.000102537067857415,0.90026478400797,-0.435097353597675,0.900264784007969,-0.435097353597674,5.88104968666009E-05,9.09005518905802E-05
34,3.49355561109799E-05,0.00010262064128805,0.900120440446406,-0.435395110824301,0.900120440446405,-0.4353951108243,5.88957177625063E-05,9.09648886082627E-05
34.01,3.50019110288629E-05,0.000102704224548442,0.899976063438662,-0.435692710936094,0.899976063438661,-0.435692710936093,5.89809843201107E-05,9.10292346382183E-05
34.02,3.50683286521574E-05,0.000102787817530357,0.899831652967285,-0.435990154032207,0.899831652967283,-0.435990154032206,5.90662965110295E-05,9.10935898934873E-05
34.03,3.51348090225272E-05,0.000102871420125557,0.899687209015036,-0.436287440212191,0.899687209015035,-0.43628744021219,5.91516543068813E-05,9.11579542871931E-05
34.04,3.52013521815732E-05,0.000102955032225804,0.899542731564888,-0.436584569575996,0.899542731564887,-0.436584569575995,5.92370576792886E-05,9.12223277325422E-05
34.05,3.52679581708326E-05,0.000103038653722853,0.899398220600024,-0.43688154222396,0.899398220600023,-0.436881542223959,5.93225065998764E-05,9.12867101428245E-05
34.06,3.53346270317785E-05,0.000103122284508458,0.899253676103835,-0.437178358256813,0.899253676103834,-0.437178358256812,5.94080010402728E-05,9.13511014314137E-05
34.07,3.54013588058193E-05,0.000103205924474369,0.899109098059921,-0.437475017775667,0.89910909805992,-0.437475017775666,5.94935409721079E-05,9.14155015117673E-05
34.08,3.54681535342979E-05,0.000103289573512334,0.898964486452086,-0.437771520882016,0.898964486452085,-0.437771520882015,5.95791263670144E-05,9.14799102974271E-05
34.09,3.55350112584918E-05,0.000103373231514098,0.898819841264342,-0.43806786767773,0.898819841264341,-0.43806786767773,5.96647571966263E-05,9.15443277020194E-05
34.1,3.56019320196117E-05,0.000103456898371402,0.898675162480901,-0.438364058265053,0.8986751624809,-0.438364058265052,5.97504334325793E-05,9.16087536392552E-05
34.11,3.56689158588019E-05,0.000103540573975986,0.898530450086178,-0.438660092746595,0.898530450086177,-0.438660092746594,5.98361550465102E-05,9.16731880229303E-05
