"Freq [GHz]","re(S(1,1)) []","im(S(1,1)) []","re(S(2,1)) []","im(S(2,1)) []","re(S(1,2)) []","im(S(1,2)) []","re(S(2,2)) []","im(S(2,2)) []"
33.74,-0.394485233973187,-0.273284460375579,0.499978456483301,-0.719662759661364,0.4999784564833,-0.719662759661363,-0.394500671955248,-0.273262250403716
33.75,-0.394470540280794,-0.273130753689561,0.499830006561945,-0.719831078515484,0.499830006561944,-0.719831078515484,-0.39448598584188,-0.273108521795176
33.76,-0.39445604159975,-0.272977111359065,0.499681312394083,-0.719999358290078,0.499681312394082,-0.719999358290078,-0.394471494722812,-0.272954857524401
33.77,-0.394441737256735,-0.272823533398488,0.499532374561036,-0.720167598674908,0.499532374561036,-0.720167598674908,-0.394457197924783,-0.272801257605774
33.78,-0.394427626580563,-0.272670019821117,0.499383193642565,-0.720335799361324,0.499383193642564,-0.720335799361324,-0.394443094776673,-0.272647722052571
33.79,-0.394413708902185,-0.27251657063914,0.499233770216872,-0.720503960042265,0.499233770216871,-0.720503960042265,-0.394429184609492,-0.272494250876967
33.8,-0.394399983554671,-0.272363185863654,0.499084104860616,-0.720672080412244,0.499084104860615,-0.720672080412244,-0.394415466756375,-0.272340844090048
33.81,-0.394386449873208,-0.272209865504669,0.498934198148908,-0.720840160167347,0.498934198148907,-0.720840160167347,-0.394401940552569,-0.272187501701813
33.82,-0.394373107195088,-0.272056609571123,0.498784050655324,-0.721008199005221,0.498784050655323,-0.721008199005222,-0.394388605335428,-0.272034223721187
33.83,-0.394359954859703,-0.271903418070883,0.498633662951907,-0.721176196625076,0.498633662951906,-0.721176196625076,-0.394375460444407,-0.271881010156025
33.84,-0.394346992208538,-0.271750291010756,0.498483035609174,-0.721344152727668,0.498483035609173,-0.721344152727668,-0.394362505221048,-0.271727861013125
33.85,-0.394334218585157,-0.271597228396495,0.498332169196124,-0.721512067015299,0.498332169196123,-0.721512067015299,-0.39434973900898,-0.271574776298229
33.86,-0.394321633335202,-0.271444230232811,0.498181064280237,-0.721679939191811,0.498181064280236,-0.721679939191811,-0.394337161153903,-0.271421756016034
33.87,-0.394309235806384,-0.271291296523374,0.498029721427487,-0.721847768962574,0.498029721427486,-0.721847768962574,-0.394324771003589,-0.271268800170201
33.88,-0.394297025348469,-0.271138427270824,0.497878141202345,-0.722015556034487,0.497878141202344,-0.722015556034486,-0.394312567907866,-0.27111590876336
33.89,-0.39428500131328,-0.270985622476781,0.497726324167782,-0.722183300115962,0.497726324167781,-0.722183300115962,-0.394300551218613,-0.270963081797119
33.9,-0.39427316305468,-0.270832882141848,0.497574270885278,-0.722351000916928,0.497574270885277,-0.722351000916928,-0.394288720289755,-0.270810319272071
33.91,-0.394261509928572,-0.270680206265618,0.497421981914824,-0.722518658148819,0.497421981914823,-0.722518658148819,-0.394277074477255,-0.2706576211878
33.92,-0.394250041292885,-0.270527594846687,0.497269457814932,-0.722686271524565,0.497269457814931,-0.722686271524564,-0.394265613139099,-0.27050498754289
33.93,-0.394238756507571,-0.270375047882657,0.497116699142637,-0.722853840758592,0.497116699142636,-0.722853840758592,-0.3942543356353,-0.270352418334934
33.94,-0.394227654934596,-0.270222565370143,0.496963706453501,-0.723021365566812,0.4969637064535,-0.723021365566812,-0.394243241327882,-0.270199913560536
33.95,-0.39421673593793,-0.270070147304781,0.496810480301623,-0.723188845666619,0.496810480301622,-0.723188845666619,-0.394232329580874,-0.270047473215323
33.96,-0.394205998883545,-0.269917793681236,0.496657021239642,-0.723356280776877,0.496657021239641,-0.723356280776877,-0.394221599760304,-0.269895097293951
33.97,-0.394195443139402,-0.269765504493209,0.496503329818741,-0.723523670617923,0.49650332981874,-0.723523670617923,-0.394211051234192,-0.269742785790112
33.98,-0.394185068075444,-0.269613279733444,0.496349406588653,-0.723691014911553,0.496349406588652,-0.723691014911553,-0.394200683372542,-0.269590538696538
33.99,-0.394174873063596,-0.269461119393732,0.496195252097667,-0.723858313381019,0.496195252097666,-0.723858313381019,-0.394190495547331,-0.269438356005012
34,-0.394164857477746,-0.269309023464924,0.496040866892633,-0.724025565751023,0.496040866892632,-0.724025565751023,-0.394180487132509,-0.269286237706377
34.01,-0.394155020693747,-0.269156991936932,0.495886251518966,-0.724192771747711,0.495886251518965,-0.724192771747711,-0.394170657503983,-0.269134183790534
34.02,-0.394145362089406,-0.269005024798739,0.495731406520654,-0.724359931098666,0.495731406520653,-0.724359931098666,-0.394161006039618,-0.268982194246459
34.03,-0.394135881044476,-0.268853122038406,0.495576332440258,-0.724527043532902,0.495576332440258,-0.724527043532901,-0.394151532119223,-0.268830269062203
34.04,-0.39412657694065,-0.268701283643077,0.495421029818923,-0.724694108780858,0.495421029818923,-0.724694108780858,-0.394142235124549,-0.268678408224902
34.05,-0.394117449161556,-0.268549509598988,0.495265499196379,-0.724861126574395,0.495265499196378,-0.724861126574395,-0.394133114439278,-0.268526611720783
34.06,-0.394108497092744,-0.268397799891471,0.495109741110945,-0.725028096646785,0.495109741110944,-0.725028096646785,-0.394124169449018,-0.26837487953517
34.07,-0.394099720121685,-0.268246154504963,0.494953756099539,-0.725195018732708,0.494953756099538,-0.725195018732708,-0.394115399541293,-0.268223211652492
34.08,-0.39409111763776,-0.268094573423013,0.494797544697678,-0.725361892568247,0.494797544697678,-0.725361892568247,-0.394106804105541,-0.268071608056288
